ACDEFGHIKLMNPQRSTVWY
{
{0,0.3861,0.2753,0.3931,0.284,0.3783,0.3464,0.3227,0.4069,0.3305,0.3878,0.4033,0.3243,0.3999,0.3667,0.4338,0.3821,0.3704,0.0968,0.3242}
{0.3861,0,0.2788,0.3164,0.224,0.2695,0.3068,0.3537,0.3134,0.3643,0.3159,0.2292,0.3076,0.3834,0.2403,0.3574,0.312,0.3702,0.1371,0.1896}
{0.2753,0.2788,0,0.3873,0.2158,0.241,0.2736,0.178,0.2439,0.2145,0.2999,0.2036,0.2256,0.2569,0.2373,0.2806,0.2176,0.1907,0.1026,0.1988}
{0.3931,0.3164,0.3873,0,0.235,0.2982,0.3579,0.2181,0.2951,0.2371,0.2712,0.2573,0.2726,0.3998,0.263,0.3484,0.2251,0.2245,0.0948,0.2845}
{0.284,0.224,0.2158,0.235,0,0.1487,0.2873,0.299,0.2527,0.3257,0.321,0.1998,0.2445,0.3379,0.1842,0.2722,0.2712,0.221,0.3114,0.3489}
{0.3783,0.2695,0.241,0.2982,0.1487,0,0.2747,0.1464,0.3529,0.1983,0.2104,0.3425,0.2422,0.3308,0.2078,0.3534,0.2933,0.2449,0.1677,0.2456}
{0.3464,0.3068,0.2736,0.3579,0.2873,0.2747,0,0.2178,0.3511,0.3059,0.2907,0.2422,0.3131,0.3664,0.2669,0.3568,0.2388,0.2531,0.1482,0.2219}
{0.3227,0.3537,0.178,0.2181,0.299,0.1464,0.2178,0,0.2266,0.3887,0.3567,0.1778,0.154,0.2289,0.1259,0.2048,0.1954,0.5095,0.073,0.3227}
{0.4069,0.3134,0.2439,0.2951,0.2527,0.3529,0.3511,0.2266,0,0.2125,0.2744,0.2948,0.2416,0.4007,0.3783,0.3222,0.344,0.2365,0.1426,0.2777}
{0.3305,0.3643,0.2145,0.2371,0.3257,0.1983,0.3059,0.3887,0.2125,0,0.4449,0.2155,0.186,0.3053,0.2049,0.2419,0.2377,0.3116,0.1633,0.3103}
{0.3878,0.3159,0.2999,0.2712,0.321,0.2104,0.2907,0.3567,0.2744,0.4449,0,0.3476,0.1305,0.4199,0.1097,0.3454,0.1928,0.458,0.4588,0.3142}
{0.4033,0.2292,0.2036,0.2573,0.1998,0.3425,0.2422,0.1778,0.2948,0.2155,0.3476,0,0.2868,0.3026,0.2335,0.3618,0.2857,0.1945,0.1202,0.2186}
{0.3243,0.3076,0.2256,0.2726,0.2445,0.2422,0.3131,0.154,0.2416,0.186,0.1305,0.2868,0,0.2741,0.199,0.309,0.1996,0.222,0.1854,0.2505}
{0.3999,0.3834,0.2569,0.3998,0.3379,0.3308,0.3664,0.2289,0.4007,0.3053,0.4199,0.3026,0.2741,0,0.332,0.3956,0.3149,0.3125,0.1054,0.3632}
{0.3667,0.2403,0.2373,0.263,0.1842,0.2078,0.2669,0.1259,0.3783,0.2049,0.1097,0.2335,0.199,0.332,0,0.3153,0.2808,0.1899,0.0928,0.2981}
{0.4338,0.3574,0.2806,0.3484,0.2722,0.3534,0.3568,0.2048,0.3222,0.2419,0.3454,0.3618,0.309,0.3956,0.3153,0,0.4221,0.3289,0.1107,0.2472}
{0.3821,0.312,0.2176,0.2251,0.2712,0.2933,0.2388,0.1954,0.344,0.2377,0.1928,0.2857,0.1996,0.3149,0.2808,0.4221,0,0.3777,0.0577,0.2597}
{0.3704,0.3702,0.1907,0.2245,0.221,0.2449,0.2531,0.5095,0.2365,0.3116,0.458,0.1945,0.222,0.3125,0.1899,0.3289,0.3777,0,0.2505,0.2086}
{0.0968,0.1371,0.1026,0.0948,0.3114,0.1677,0.1482,0.073,0.1426,0.1633,0.4588,0.1202,0.1854,0.1054,0.0928,0.1107,0.0577,0.2505,0,0.2866}
{0.3242,0.1896,0.1988,0.2845,0.3489,0.2456,0.2219,0.3227,0.2777,0.3103,0.3142,0.2186,0.2505,0.3632,0.2981,0.2472,0.2597,0.2086,0.2866,0}
}
